schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date,source_name,arxiv_id,github_forks,github_watchers
1.0,RESEARCH_PAPER,Accurate 3D Localization for MAV Swarms by UWB and IMU Fusion,,http://arxiv.org/abs/1807.10913v1,https://github.com/lijx10/uwb-localization,423,,Papers With Code / arXiv,1807.10913,156,423
1.0,RESEARCH_PAPER,Pixel-wise Attentional Gating for Parsimonious Pixel Labeling,,http://arxiv.org/abs/1805.01556v2,https://github.com/aimerykong/Pixel-Attentional-Gating,46,,Papers With Code / arXiv,1805.01556,8,46
1.0,RESEARCH_PAPER,Texygen: A Benchmarking Platform for Text Generation Models,,http://arxiv.org/abs/1802.01886v1,https://github.com/geek-ai/Texygen,863,,Papers With Code / arXiv,1802.01886,201,863
1.0,RESEARCH_PAPER,Improving the Resolution of CNN Feature Maps Efficiently with Multisampling,,https://arxiv.org/abs/1805.10766v2,https://github.com/ShayanPersonal/checkered-cnn,30,,Papers With Code / arXiv,1805.10766,7,30
1.0,RESEARCH_PAPER,CR-GAN: Learning Complete Representations for Multi-view Generation,,http://arxiv.org/abs/1806.11191v1,https://github.com/bluer555/CR-GAN,129,,Papers With Code / arXiv,1806.11191,29,129
1.0,RESEARCH_PAPER,Variational Disentanglement for Rare Event Modeling,,https://arxiv.org/abs/2009.08541v5,https://github.com/ZidiXiu/VIE,4,,Papers With Code / arXiv,2009.08541,5,4
1.0,RESEARCH_PAPER,Prediction Intervals: Split Normal Mixture from Quality-Driven Deep Ensembles,,https://arxiv.org/abs/2007.09670v1,https://github.com/tarik/pi-snm-qde,11,,Papers With Code / arXiv,2007.09670,3,11
1.0,RESEARCH_PAPER,Sequential Stratified Regeneration: MCMC for Large State Spaces with an Application to Subgraph Count Estimation,,https://arxiv.org/abs/2012.03879v3,https://github.com/dccspeed/ripple,2,,Papers With Code / arXiv,2012.03879,1,2
1.0,RESEARCH_PAPER,Quantile Propagation for Wasserstein-Approximate Gaussian Processes,,https://arxiv.org/abs/1912.10200v3,https://github.com/RuiZhang2016/Quantile-Propagation-for-Wasserstein-Approximate-Gaussian-Processes,2,,Papers With Code / arXiv,1912.10200,1,2
1.0,RESEARCH_PAPER,Linguistic Features for Readability Assessment,,https://arxiv.org/abs/2006.00377v1,https://github.com/TovlyDeutsch/Linguistic-Features-for-Readability,25,,Papers With Code / arXiv,2006.00377,7,25
1.0,RESEARCH_PAPER,AtomNAS: Fine-Grained End-to-End Neural Architecture Search,,https://arxiv.org/abs/1912.09640v2,https://github.com/meijieru/AtomNAS,220,,Papers With Code / arXiv,1912.09640,21,220
1.0,RESEARCH_PAPER,Hyper-Path-Based Representation Learning for Hyper-Networks,,https://arxiv.org/abs/1908.09152v2,https://github.com/HKUST-KnowComp/HPHG,7,,Papers With Code / arXiv,1908.09152,1,7
1.0,RESEARCH_PAPER,Spike-Train Level Backpropagation for Training Deep Recurrent Spiking Neural Networks,,https://arxiv.org/abs/1908.06378v3,https://github.com/stonezwr/ST-RSBP,13,,Papers With Code / arXiv,1908.06378,2,13
1.0,RESEARCH_PAPER,Face Super-Resolution Through Wasserstein GANs,,http://arxiv.org/abs/1705.02438v1,https://github.com/MandyZChen/srez,20,,Papers With Code / arXiv,1705.02438,8,20
1.0,RESEARCH_PAPER,Predicting Pairwise Relations with Neural Similarity Encoders,,http://arxiv.org/abs/1702.01824v2,https://github.com/cod3licious/simec,17,,Papers With Code / arXiv,1702.01824,2,17
1.0,RESEARCH_PAPER,The Tatoeba Translation Challenge -- Realistic Data Sets for Low Resource and Multilingual MT,,https://arxiv.org/abs/2010.06354v1,https://github.com/Helsinki-NLP/Tatoeba-Challenge,855,,Papers With Code / arXiv,2010.06354,91,855
1.0,RESEARCH_PAPER,Learning the Joint Representation of Heterogeneous Temporal Events for Clinical Endpoint Prediction,,http://arxiv.org/abs/1803.04837v4,https://github.com/jhshen95/HELSTM,34,,Papers With Code / arXiv,1803.04837,16,34
1.0,RESEARCH_PAPER,City-wide Analysis of Electronic Health Records Reveals Gender and Age Biases in the Administration of Known Drug-Drug Interactions,,https://arxiv.org/abs/1803.03571v4,https://github.com/rionbr/DDIBlumenau,2,,Papers With Code / arXiv,1803.03571,0,2
1.0,RESEARCH_PAPER,Predicting Fluid Intelligence of Children using T1-weighted MR Images and a StackNet,,https://arxiv.org/abs/1904.07387v3,https://github.com/pykao/ABCD-MICCAI2019,1,,Papers With Code / arXiv,1904.07387,1,1
1.0,RESEARCH_PAPER,A Generic Inverted Index Framework for Similarity Search on the GPU - Technical Report,,http://arxiv.org/abs/1603.08390v3,https://github.com/SeSaMe-NUS/genie,81,,Papers With Code / arXiv,1603.08390,15,81
1.0,RESEARCH_PAPER,Copy and Paste: A Simple But Effective Initialization Method for Black-Box Adversarial Attacks,,https://arxiv.org/abs/1906.06086v2,https://github.com/ttbrunner/blackbox_starting_points,5,,Papers With Code / arXiv,1906.06086,1,5
1.0,RESEARCH_PAPER,Bayesian Sparsification Methods for Deep Complex-valued Networks,,https://arxiv.org/abs/2003.11413v2,https://github.com/ivannz/complex_paper,9,,Papers With Code / arXiv,2003.11413,1,9
1.0,RESEARCH_PAPER,Computing Tight Differential Privacy Guarantees Using FFT,,https://arxiv.org/abs/1906.03049v2,https://github.com/DPBayes/PLD-Accountant,23,,Papers With Code / arXiv,1906.03049,9,23
1.0,RESEARCH_PAPER,"The Collective Knowledge project: making ML models more portable and reproducible with open APIs, reusable best practices and MLOps",,https://arxiv.org/abs/2006.07161v2,https://github.com/ctuning/cbench,5,,Papers With Code / arXiv,2006.07161,1,5
1.0,RESEARCH_PAPER,Restoration of Non-rigidly Distorted Underwater Images using a Combination of Compressive Sensing and Local Polynomial Image Representations,,https://arxiv.org/abs/1908.01940v1,https://github.com/jeringeo/CompressiveFlows,25,,Papers With Code / arXiv,1908.01940,5,25
1.0,RESEARCH_PAPER,Training Deep AutoEncoders for Collaborative Filtering,,http://arxiv.org/abs/1708.01715v3,https://github.com/NVIDIA/DeepRecommender,1701,,Papers With Code / arXiv,1708.01715,341,1701
1.0,RESEARCH_PAPER,"Unsupervised, Efficient and Semantic Expertise Retrieval",,http://arxiv.org/abs/1608.06651v2,https://github.com/cvangysel/SERT,111,,Papers With Code / arXiv,1608.06651,18,111
1.0,RESEARCH_PAPER,A ROS multi-ontology references services: OWL reasoners and application prototyping issues,,https://arxiv.org/abs/1706.10151v2,https://github.com/TheEngineRoom-UniGe/ARMOR_OWLOOP,1,,Papers With Code / arXiv,1706.10151,1,1
1.0,RESEARCH_PAPER,Weakly Supervised Cell Instance Segmentation by Propagating from Detection Response,,https://arxiv.org/abs/1911.13077v1,https://github.com/naivete5656/WSISPDR,42,,Papers With Code / arXiv,1911.13077,7,42
1.0,RESEARCH_PAPER,Towards Cooperative Data Rate Prediction for Future Mobile and Vehicular 6G Networks,,https://arxiv.org/abs/2001.09452v1,https://github.com/falkenber9/falcon,362,,Papers With Code / arXiv,2001.09452,92,362
1.0,RESEARCH_PAPER,Normalized Wasserstein Distance for Mixture Distributions with Applications in Adversarial Learning and Domain Adaptation,,https://arxiv.org/abs/1902.00415v2,https://github.com/yogeshbalaji/Normalized-Wasserstein,11,,Papers With Code / arXiv,1902.00415,3,11
1.0,RESEARCH_PAPER,Learning to navigate image manifolds induced by generative adversarial networks for unsupervised video generation,,http://arxiv.org/abs/1901.11384v1,https://github.com/belaalb/frameGAN,0,,Papers With Code / arXiv,1901.11384,0,0
1.0,RESEARCH_PAPER,Multi-Criteria Dimensionality Reduction with Applications to Fairness,,https://arxiv.org/abs/1902.11281v3,https://github.com/SDPforAll/multiCriteriaDimReduction,2,,Papers With Code / arXiv,1902.11281,2,2
1.0,RESEARCH_PAPER,Variational approach to rare event simulation using least-squares regression,,http://arxiv.org/abs/1901.09195v2,https://github.com/lorenzrichter/BSDE,3,,Papers With Code / arXiv,1901.09195,0,3
