input_name,canonical_name,match_type,score
Vogent,,NO_MATCH,0.0
Flux Auto,,NO_MATCH,0.0
Fountain9,,NO_MATCH,0.0
Pragmatic Leaders (Ankai Inc),,NO_MATCH,0.0
Sivo,,NO_MATCH,0.0
Supadock,,NO_MATCH,0.0
Emerge Tools,,NO_MATCH,0.0
Parsagon,,NO_MATCH,0.0
Alinea,,NO_MATCH,0.0
Vapi,,NO_MATCH,0.0
Mindee,,NO_MATCH,0.0
Popl,,NO_MATCH,0.0
True3D,,NO_MATCH,0.0
FirstSupport.ai,,NO_MATCH,0.0
Rinsed,,NO_MATCH,0.0
Nimbus,,NO_MATCH,0.0
Enable Us,,NO_MATCH,0.0
InpharmD,,NO_MATCH,0.0
Tint,,NO_MATCH,0.0
TaoFi,,NO_MATCH,0.0
Venu AI,,NO_MATCH,0.0
Compose.ai,,NO_MATCH,0.0
Codeball,,NO_MATCH,0.0
Dataherald,,NO_MATCH,0.0
Rejoy Health,,NO_MATCH,0.0
Treinta,,NO_MATCH,0.0
Spline,,NO_MATCH,0.0
BusinessOnBot,,NO_MATCH,0.0
Mystic,,NO_MATCH,0.0
MarqVision,,NO_MATCH,0.0
Routine,,NO_MATCH,0.0
MindPortal,,NO_MATCH,0.0
Waydev,,NO_MATCH,0.0
Ollama,,NO_MATCH,0.0
Humance,,NO_MATCH,0.0
Openlayer,,NO_MATCH,0.0
Slope,,NO_MATCH,0.0
Mindstate Design Labs,,NO_MATCH,0.0
Serif Health,,NO_MATCH,0.0
Abstra,,NO_MATCH,0.0
Replo,,NO_MATCH,0.0
FirstQuadrant,,NO_MATCH,0.0
Affogato AI,,NO_MATCH,0.0
zaz⚡️os,,NO_MATCH,0.0
Swipe,,NO_MATCH,0.0
Neodocs,,NO_MATCH,0.0
MobileBoost,,NO_MATCH,0.0
RGI Labs,,NO_MATCH,0.0
Sleek,,NO_MATCH,0.0
Bite Ninja,,NO_MATCH,0.0
Anakin,,NO_MATCH,0.0
Dailybot,,NO_MATCH,0.0
Tavus,,NO_MATCH,0.0
Konta.com,,NO_MATCH,0.0
Verihubs,,NO_MATCH,0.0
Secoda,,NO_MATCH,0.0
SalaryBox,,NO_MATCH,0.0
Sentiyen,,NO_MATCH,0.0
SenpAI.GG,,NO_MATCH,0.0
Warpfy,,NO_MATCH,0.0
DigiBuild,,NO_MATCH,0.0
Milky Way AI,,NO_MATCH,0.0
OneSchema,,NO_MATCH,0.0
Mine,,NO_MATCH,0.0
Zensors,,NO_MATCH,0.0
aSim,,NO_MATCH,0.0
Mentum,,NO_MATCH,0.0
Writesonic,,NO_MATCH,0.0
Revery AI,,NO_MATCH,0.0
Tenyks,,NO_MATCH,0.0
Adni,,NO_MATCH,0.0
Hudson Labs (formerly Bedrock AI),,NO_MATCH,0.0
Vibe Kanban,,NO_MATCH,0.0
Caire Health,,NO_MATCH,0.0
Squire.ai,,NO_MATCH,0.0
Spoken,,NO_MATCH,0.0
Adravision,,NO_MATCH,0.0
Medium Biosciences,,NO_MATCH,0.0
Safer Management,,NO_MATCH,0.0
Sully.ai,,NO_MATCH,0.0
Andi,,NO_MATCH,0.0
TigerEye,,NO_MATCH,0.0
Moots,,NO_MATCH,0.0
Capuchin,,NO_MATCH,0.0
Trellus,,NO_MATCH,0.0
WeReno,,NO_MATCH,0.0
PromptLoop,,NO_MATCH,0.0
Cozmo AI,,NO_MATCH,0.0
Sota2,,NO_MATCH,0.0
Stably AI (Orca),,NO_MATCH,0.0
CoffeeAI,,NO_MATCH,0.0
InferEdge,,NO_MATCH,0.0
Industrial Next,,NO_MATCH,0.0
Rownd,,NO_MATCH,0.0
Kaso,,NO_MATCH,0.0
Iron Leap,,NO_MATCH,0.0
Unlayer,,NO_MATCH,0.0
Fintelite,,NO_MATCH,0.0
MosaicVoice,,NO_MATCH,0.0
Beam,,NO_MATCH,0.0
Sophys,,NO_MATCH,0.0
Armilla AI,,NO_MATCH,0.0
Dart,,NO_MATCH,0.0
Emobi,,NO_MATCH,0.0
Reforged Labs,,NO_MATCH,0.0
T3 Chat,,NO_MATCH,0.0
Speechly,,NO_MATCH,0.0
SkyLink,,NO_MATCH,0.0
RefineTrain AI,,NO_MATCH,0.0
NearWave,,NO_MATCH,0.0
Siftly,,NO_MATCH,0.0
Cogram,,NO_MATCH,0.0
Cotera,,NO_MATCH,0.0
Strong Compute,,NO_MATCH,0.0
"Sendme, Inc",,NO_MATCH,0.0
goodfin,,NO_MATCH,0.0
Broccoli AI,,NO_MATCH,0.0
Theneo,,NO_MATCH,0.0
AvairSense,,NO_MATCH,0.0
IoTFlows Inc,,NO_MATCH,0.0
HOAi,,NO_MATCH,0.0
Spade,,NO_MATCH,0.0
Housewarming,,NO_MATCH,0.0
RTHM,,NO_MATCH,0.0
Humand,,NO_MATCH,0.0
Postal,,NO_MATCH,0.0
AYC Fund,,NO_MATCH,0.0
Heptabase,,NO_MATCH,0.0
Nara,,NO_MATCH,0.0
Query Vary,,NO_MATCH,0.0
Impossible Metals,,NO_MATCH,0.0
Cellbyte,,NO_MATCH,0.0
GovDash,,NO_MATCH,0.0
KorrAI,,NO_MATCH,0.0
Flike,,NO_MATCH,0.0
Reality Defender,,NO_MATCH,0.0
WhiteLab Genomics,,NO_MATCH,0.0
Elessar,,NO_MATCH,0.0
Julius,,NO_MATCH,0.0
Ciro,,NO_MATCH,0.0
Truva,,NO_MATCH,0.0
Two Dots,,NO_MATCH,0.0
Bunting Labs,,NO_MATCH,0.0
Cerrion,,NO_MATCH,0.0
Champ,,NO_MATCH,0.0
Roxels,,NO_MATCH,0.0
Fetii,,NO_MATCH,0.0
Craze,,NO_MATCH,0.0
NuMind,,NO_MATCH,0.0
Overwatch,,NO_MATCH,0.0
Raven,,NO_MATCH,0.0
Flair Labs,,NO_MATCH,0.0
Unify,,NO_MATCH,0.0
Typewise,,NO_MATCH,0.0
NewsCatcher,,NO_MATCH,0.0
100x,,NO_MATCH,0.0
Thera,,NO_MATCH,0.0
Peoplebox.ai,,NO_MATCH,0.0
Coris,,NO_MATCH,0.0
AnythingLLM,,NO_MATCH,0.0
FlyCode,,NO_MATCH,0.0
Maya Labs,,NO_MATCH,0.0
Rima AI (formerly Garage),,NO_MATCH,0.0
Quinn,,NO_MATCH,0.0
Cobbery,,NO_MATCH,0.0
Feather,,NO_MATCH,0.0
Artemis Search,,NO_MATCH,0.0
Unthread,,NO_MATCH,0.0
HOMLI,,NO_MATCH,0.0
Jasmine Energy,,NO_MATCH,0.0
Wondercraft,,NO_MATCH,0.0
Clearline,,NO_MATCH,0.0
Monterey AI,,NO_MATCH,0.0
Pump.co,,NO_MATCH,0.0
Knowtex,,NO_MATCH,0.0
CAPSULE,,NO_MATCH,0.0
InVision Medical Technology,,NO_MATCH,0.0
Cambio,,NO_MATCH,0.0
Axle,,NO_MATCH,0.0
Chima,,NO_MATCH,0.0
Integrated Reasoning,,NO_MATCH,0.0
Dev Tools AI,,NO_MATCH,0.0
Rubbrband,,NO_MATCH,0.0
Reflex,,NO_MATCH,0.0
Linum,,NO_MATCH,0.0
Layup,,NO_MATCH,0.0
Credal.ai,,NO_MATCH,0.0
Rollstack,,NO_MATCH,0.0
Novelcare,,NO_MATCH,0.0
Concourse,,NO_MATCH,0.0
Latent,,NO_MATCH,0.0
Lynx,,NO_MATCH,0.0
Rubber Ducky Labs,,NO_MATCH,0.0
Pair AI,,NO_MATCH,0.0
Ohm,,NO_MATCH,0.0
Double – Coding Copilot,,NO_MATCH,0.0
Glass Health,,NO_MATCH,0.0
Versive,,NO_MATCH,0.0
Narrative,,NO_MATCH,0.0
Gluetrail,,NO_MATCH,0.0
infra.new,,NO_MATCH,0.0
PoplarML,,NO_MATCH,0.0
Cosine,,NO_MATCH,0.0
Gooseworks,,NO_MATCH,0.0
No Cap,,NO_MATCH,0.0
Dream3D,,NO_MATCH,0.0
DataSuite,,NO_MATCH,0.0
co.dev,,NO_MATCH,0.0
Aqueduct,,NO_MATCH,0.0
Velos,,NO_MATCH,0.0
Booth AI,,NO_MATCH,0.0
Orchid,,NO_MATCH,0.0
1stCollab,,NO_MATCH,0.0
Magicflow 𐂂,,NO_MATCH,0.0
Variance,,NO_MATCH,0.0
Fintool,,NO_MATCH,0.0
Boundary,,NO_MATCH,0.0
FactIQ,,NO_MATCH,0.0
Shortbread,,NO_MATCH,0.0
Hippo Scribe,,NO_MATCH,0.0
CombineHealth,,NO_MATCH,0.0
SuperKalam,,NO_MATCH,0.0
Coldreach,,NO_MATCH,0.0
Corgi Labs,,NO_MATCH,0.0
DAGWorks Inc.,,NO_MATCH,0.0
Maxi,,NO_MATCH,0.0
Decohere,,NO_MATCH,0.0
CodeParrot AI,,NO_MATCH,0.0
Conduit,,NO_MATCH,0.0
Berry,,NO_MATCH,0.0
Interlock,,NO_MATCH,0.0
rex.fit,,NO_MATCH,0.0
Benchmark,,NO_MATCH,0.0
Pier,,NO_MATCH,0.0
Type,,NO_MATCH,0.0
Vendora,,NO_MATCH,0.0
